s1,s2,comparison,method,target_null,n_samples,n_pairs,repeats,k,n_test_examples,accuracy_mean,accuracy_median,accuracy_minimum,accuracy_maximum,p_value_mean,p_value_median,p_value_minimum,p_value_maximum,rejection_count,rejection_rate,alpha,result_file
20,5,s-p,original_binomial_c2st,H0_dist: P_A = P_B,85,85,100,9,84,1.0,1.0,1.0,1.0,5.169878828456423e-26,5.169878828456423e-26,5.169878828456423e-26,5.169878828456423e-26,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-5__c-73-104__u-35-66__pp-none/results/c2st__s-p__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T181034898311Z.json
20,5,s-p,paired_mcnemar,H0_dist: P_A = P_B,85,85,100,9,84,1.0,1.0,1.0,1.0,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-5__c-73-104__u-35-66__pp-none/results/c2st__s-p__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T181034928773Z.json
20,5,s-p,paired_swap_permutation,,85,85,100,9,84,1.0,1.0,1.0,1.0,0.0010000000000000002,0.001,0.001,0.001,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-5__c-73-104__u-35-66__pp-none/results/c2st__s-p__resnet34__knn__permutation__repeats-100__seed-0__20260817T201553989168Z.json
20,5,s-p-matched,original_binomial_c2st,H0_dist: P_A = P_B,85,42,100,6,42,1.0,1.0,1.0,1.0,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-5__c-73-104__u-35-66__pp-none/results/c2st__s-p-matched__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T181034652787Z.json
20,5,s-p-matched,paired_mcnemar,H0_dist: P_A = P_B,85,42,100,6,42,1.0,1.0,1.0,1.0,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-5__c-73-104__u-35-66__pp-none/results/c2st__s-p-matched__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T181034884341Z.json
20,5,s-p-matched,paired_swap_permutation,,85,42,100,6,42,1.0,1.0,1.0,1.0,0.0010000000000000002,0.001,0.001,0.001,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-5__c-73-104__u-35-66__pp-none/results/c2st__s-p-matched__resnet34__knn__permutation__repeats-100__seed-0__20260817T200914433748Z.json
20,5,s-s,original_binomial_c2st,H0_dist: P_A = P_B,85,42,100,6,42,0.42738095238095236,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.8113379840456855,0.8600218807355304,0.22039953367129783,0.9985563760128571,0,0.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-5__c-73-104__u-35-66__pp-none/results/c2st__s-s__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T181035160614Z.json
20,5,s-s,paired_mcnemar,H0_dist: P_A = P_B,85,42,100,6,42,0.49690476190476196,0.5,0.40476190476190477,0.6190476190476191,0.715234375,0.79296875,0.03125,1.0,1,0.01,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-5__c-73-104__u-35-66__pp-none/results/c2st__s-s__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T181035414860Z.json
20,5,s-s,paired_swap_permutation,,85,42,100,6,42,0.49690476190476196,0.5,0.40476190476190477,0.6190476190476191,0.59488,0.6255,0.007,0.994,3,0.03,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-5__c-73-104__u-35-66__pp-none/results/c2st__s-s__resnet34__knn__permutation__repeats-100__seed-0__20260817T200922292895Z.json
20,5,p-p,original_binomial_c2st,H0_dist: P_A = P_B,85,42,100,6,42,0.4269047619047619,0.42857142857142855,0.2857142857142857,0.5476190476190477,0.8065505658878465,0.8600218807355304,0.32198447818518616,0.9985563760128571,0,0.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-5__c-73-104__u-35-66__pp-none/results/c2st__p-p__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T181035429482Z.json
