s1,s2,comparison,method,target_null,n_samples,n_pairs,repeats,k,n_test_examples,accuracy_mean,accuracy_median,accuracy_minimum,accuracy_maximum,p_value_mean,p_value_median,p_value_minimum,p_value_maximum,rejection_count,rejection_rate,alpha,result_file
10,0,p-p,paired_mcnemar,H0_dist: P_A = P_B,213,106,100,10,106,0.49424528301886783,0.5,0.41509433962264153,0.5754716981132075,0.6281459426879883,0.623046875,0.0286865234375,1.0,1,0.01,0.05,newville_nov/hold_skip/hold_skip__s1-10__s2-0__c-73-104__u-35-66__pp-none/results/c2st__p-p__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T225234289774Z.json
10,0,p-p,paired_swap_permutation,H0_swap: tau_epsilon Z =_d Z for every permitted within-pair swap vector,213,106,100,10,106,0.49424528301886783,0.5,0.41509433962264153,0.5754716981132075,0.58538,0.5765,0.01,0.998,1,0.01,0.05,newville_nov/hold_skip/hold_skip__s1-10__s2-0__c-73-104__u-35-66__pp-none/results/c2st__p-p__resnet34__knn__paired_swap_permutation__repeats-100__seed-0__20260821T231208630713Z.json
20,0,s-p,original_binomial_c2st,H0_dist: P_A = P_B,106,106,100,10,106,1.0,1.0,1.0,1.0,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-0__c-73-104__u-35-66__pp-none/results/c2st__s-p__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T225320970732Z.json
20,0,s-p,paired_mcnemar,H0_dist: P_A = P_B,106,106,100,10,106,1.0,1.0,1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-0__c-73-104__u-35-66__pp-none/results/c2st__s-p__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T225322662244Z.json
20,0,s-p,paired_swap_permutation,H0_swap: tau_epsilon Z =_d Z for every permitted within-pair swap vector,106,106,100,10,106,1.0,1.0,1.0,1.0,0.0010000000000000002,0.001,0.001,0.001,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-0__c-73-104__u-35-66__pp-none/results/c2st__s-p__resnet34__knn__paired_swap_permutation__repeats-100__seed-0__20260821T231258921923Z.json
20,0,s-p-matched,original_binomial_c2st,H0_dist: P_A = P_B,106,53,100,7,52,1.0,1.0,1.0,1.0,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-0__c-73-104__u-35-66__pp-none/results/c2st__s-p-matched__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T231209294344Z.json
20,0,s-p-matched,paired_mcnemar,H0_dist: P_A = P_B,106,53,100,7,52,1.0,1.0,1.0,1.0,1.4901161193847656e-08,1.4901161193847656e-08,1.4901161193847656e-08,1.4901161193847656e-08,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-0__c-73-104__u-35-66__pp-none/results/c2st__s-p-matched__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T231209914516Z.json
20,0,s-p-matched,paired_swap_permutation,H0_swap: tau_epsilon Z =_d Z for every permitted within-pair swap vector,106,53,100,7,52,1.0,1.0,1.0,1.0,0.0010000000000000002,0.001,0.001,0.001,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-0__c-73-104__u-35-66__pp-none/results/c2st__s-p-matched__resnet34__knn__paired_swap_permutation__repeats-100__seed-0__20260821T231428324764Z.json
20,0,s-s,original_binomial_c2st,H0_dist: P_A = P_B,106,53,100,7,52,0.3992307692307693,0.38461538461538464,0.28846153846153844,0.5384615384615384,0.8966402498944573,0.9648028894664689,0.33890431957123024,0.9994024398399963,0,0.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-0__c-73-104__u-35-66__pp-none/results/c2st__s-s__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T231259558865Z.json
20,0,s-s,paired_mcnemar,H0_dist: P_A = P_B,106,53,100,7,52,0.4986538461538462,0.5,0.38461538461538464,0.6538461538461539,0.635780029296875,0.6875,0.00390625,1.0,2,0.02,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-0__c-73-104__u-35-66__pp-none/results/c2st__s-s__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T231300190665Z.json
20,0,s-s,paired_swap_permutation,H0_swap: tau_epsilon Z =_d Z for every permitted within-pair swap vector,106,53,100,7,52,0.4986538461538462,0.5,0.38461538461538464,0.6538461538461539,0.56842,0.5774999999999999,0.002,0.999,3,0.03,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-0__c-73-104__u-35-66__pp-none/results/c2st__s-s__resnet34__knn__paired_swap_permutation__repeats-100__seed-0__20260821T231519957497Z.json
20,0,p-p,original_binomial_c2st,H0_dist: P_A = P_B,106,53,100,7,52,0.41057692307692306,0.40384615384615385,0.28846153846153844,0.5769230769230769,0.8637143969916997,0.9368264620930393,0.1658748816847453,0.9994024398399963,0,0.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-0__c-73-104__u-35-66__pp-none/results/c2st__p-p__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T231428939730Z.json
20,0,p-p,paired_mcnemar,H0_dist: P_A = P_B,106,53,100,7,52,0.4961538461538462,0.5,0.3269230769230769,0.6153846153846154,0.6098310852050781,0.63671875,0.03515625,0.998046875,1,0.01,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-0__c-73-104__u-35-66__pp-none/results/c2st__p-p__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T231429572461Z.json
20,0,p-p,paired_swap_permutation,H0_swap: tau_epsilon Z =_d Z for every permitted within-pair swap vector,106,53,100,7,52,0.4961538461538462,0.5,0.3269230769230769,0.6153846153846154,0.5582100000000001,0.566,0.027,0.999,1,0.01,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-0__c-73-104__u-35-66__pp-none/results/c2st__p-p__resnet34__knn__paired_swap_permutation__repeats-100__seed-0__20260821T231647459352Z.json
