regime,regime_label,n_pairs,method,target_null,reference_valid_in_regime,interpretation,trial_count,rejection_count,rejection_rate,monte_carlo_standard_error,wilson_95_ci_low,wilson_95_ci_high,accuracy_mean,p_value_median
iid_null,A. Independent i.i.d. null,80,paired_swap_permutation,H0_swap: tau_epsilon Z =_d Z for every permitted within-pair swap vector,True,type_i_calibration,1000,27,0.027,0.00512552436341883,0.018621382774294995,0.03899873075304015,0.4956875,0.575
mean_shift,F. Mean-shift alternative,40,original_binomial_c2st,H0_dist: P_A = P_B,,power,1000,118,0.118,0.01020176455325254,0.09945155840122327,0.13947208508174083,0.5396749999999999,0.3179140013144206
mean_shift,F. Mean-shift alternative,40,pair_preserving_binomial,H0_dist: P_A = P_B,,power,1000,137,0.137,0.010873407929439602,0.11707313063299474,0.1597050960275183,0.544125,0.3179140013144206
mean_shift,F. Mean-shift alternative,40,paired_mcnemar,H0_dist: P_A = P_B,,power,1000,84,0.084,0.008771772910877254,0.0683588136777643,0.10282504938221758,0.544125,0.38720703125
mean_shift,F. Mean-shift alternative,40,paired_swap_permutation,H0_swap: tau_epsilon Z =_d Z for every permitted within-pair swap vector,,power,1000,130,0.13,0.010634848376916336,0.11056377462484193,0.1522680266544689,0.544125,0.3425
mean_shift,F. Mean-shift alternative,80,original_binomial_c2st,H0_dist: P_A = P_B,,power,1000,200,0.2,0.01264911064067352,0.17637709044319852,0.22591896464813463,0.5453625,0.21702112767273937
mean_shift,F. Mean-shift alternative,80,pair_preserving_binomial,H0_dist: P_A = P_B,,power,1000,192,0.192,0.012455360291858283,0.16878484731114135,0.21757243591596065,0.545225,0.21702112767273937
mean_shift,F. Mean-shift alternative,80,paired_mcnemar,H0_dist: P_A = P_B,,power,1000,150,0.15,0.011291589790636216,0.1292100725130883,0.17346865842680032,0.545225,0.2617335319519043
mean_shift,F. Mean-shift alternative,80,paired_swap_permutation,H0_swap: tau_epsilon Z =_d Z for every permitted within-pair swap vector,,power,1000,172,0.172,0.011933817494833746,0.14987640210972414,0.19663395145680002,0.545225,0.235
negative_exchangeable,B. I.i.d. exchangeable pairs with strong negative dependence,40,original_binomial_c2st,H0_dist: P_A = P_B,False,null_behavior_outside_method_assumptions,1000,2,0.002,0.0014127986409959489,0.000548643588120728,0.007262807863492177,0.35597500000000004,0.9807613458578999
negative_exchangeable,B. I.i.d. exchangeable pairs with strong negative dependence,40,pair_preserving_binomial,H0_dist: P_A = P_B,False,null_behavior_outside_method_assumptions,1000,131,0.131,0.010669536072388528,0.11149250620200898,0.15333164156033072,0.49785,0.5626853438097896
negative_exchangeable,B. I.i.d. exchangeable pairs with strong negative dependence,40,paired_mcnemar,H0_dist: P_A = P_B,True,type_i_calibration,1000,20,0.02,0.004427188724235731,0.012983682916415136,0.030690005229717786,0.49785,0.5880985260009766
negative_exchangeable,B. I.i.d. exchangeable pairs with strong negative dependence,40,paired_swap_permutation,H0_swap: tau_epsilon Z =_d Z for every permitted within-pair swap vector,True,type_i_calibration,1000,31,0.031,0.0054807846153630225,0.02192400344715857,0.04366549601229214,0.49785,0.595
